session_id,meat_type,target_temp,time_elapsed,temperature,time_remaining
session_3354,chicken,69.36350297118406,0.0,19.44405994097654,86.55000144869413
session_3354,chicken,69.36350297118406,0.503197682841245,21.786347744835222,86.04680376585289
session_3354,chicken,69.36350297118406,1.00639536568249,23.339695537504813,85.54360608301164
session_3354,chicken,69.36350297118406,1.509593048523735,25.226859486928742,85.04040840017039
session_3354,chicken,69.36350297118406,2.01279073136498,25.902447332545623,84.53721071732915
session_3354,chicken,69.36350297118406,2.515988414206225,27.353096219983968,84.03401303448791
session_3354,chicken,69.36350297118406,3.01918609704747,28.705894036322054,83.53081535164667
session_3354,chicken,69.36350297118406,3.522383779888715,29.860099400753718,83.02761766880542
session_3354,chicken,69.36350297118406,4.02558146272996,30.302571218119095,82.52441998596417
session_3354,chicken,69.36350297118406,4.528779145571205,33.328328919581175,82.02122230312293
session_3354,chicken,69.36350297118406,5.03197682841245,34.464656034899235,81.51802462028168
session_3354,chicken,69.36350297118406,5.535174511253695,34.45812752502254,81.01482693744043
session_3354,chicken,69.36350297118406,6.03837219409494,36.131324142034586,80.5116292545992
session_3354,chicken,69.36350297118406,6.541569876936185,37.062338958586025,80.00843157175795
session_3354,chicken,69.36350297118406,7.04476755977743,38.134201507882594,79.5052338889167
session_3354,chicken,69.36350297118406,7.547965242618675,38.43371193356248,79.00203620607546
session_3354,chicken,69.36350297118406,8.05116292545992,40.172894492481504,78.49883852323421
session_3354,chicken,69.36350297118406,8.554360608301165,41.73816814180123,77.99564084039297
session_3354,chicken,69.36350297118406,9.05755829114241,43.6393630188391,77.49244315755172
session_3354,chicken,69.36350297118406,9.560755973983655,43.44671547490433,76.98924547471047
session_3354,chicken,69.36350297118406,10.0639536568249,44.17135701063654,76.48604779186923
session_3354,chicken,69.36350297118406,10.567151339666145,44.68481325666246,75.98285010902799
session_3354,chicken,69.36350297118406,11.07034902250739,45.447257850429544,75.47965242618675
session_3354,chicken,69.36350297118406,11.573546705348635,46.999432424615385,74.9764547433455
session_3354,chicken,69.36350297118406,12.07674438818988,47.42390553260243,74.47325706050425
